STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19440114,   55.7,24,   55.5,24, 1020.6,24, 9999.9, 0,   1.5,24,   6.0,24,  11.1, 999.9,   60.3*,  49.3*,99.99 ,999.9, 110000,
722146,12816, 19440115,   58.5,24,   57.3,24, 1011.5,24, 9999.9, 0,   3.1,24,   7.2,24,  16.9, 999.9,   64.4*,  53.4*,99.99 ,999.9, 110000,
722146,12816, 19440116,   45.4,24,   37.8,24, 1018.2,24, 9999.9, 0,   5.6,24,   7.7,24,  11.1, 999.9,   53.4*,  39.4*,99.99 ,999.9, 010000,
722146,12816, 19440117,   45.5,24,   43.0,24, 1025.4,24, 9999.9, 0,   1.9,24,   6.6,24,  11.1, 999.9,   55.4*,  36.3*, 0.00I,999.9, 100000,
722146,12816, 19440118,   51.8,24,   43.8,24, 1024.2,24, 9999.9, 0,   4.1,24,   7.6,24,  13.0, 999.9,   62.4*,  45.3*, 0.00I,999.9, 000000,
722146,12816, 19440119,   47.0,24,   38.2,24, 1021.2,24, 9999.9, 0,   3.7,24,   6.3,24,  11.1, 999.9,   61.3*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440120,   51.6,24,   40.1,24, 1019.1,24, 9999.9, 0,   4.2,24,   6.1,24,   9.9, 999.9,   65.3*,  41.4*, 0.00I,999.9, 000000,
722146,12816, 19440121,   48.3,24,   34.4,24, 1024.4,24, 9999.9, 0,   6.6,24,   6.9,24,  14.0, 999.9,   65.3*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440122,   46.8,24,   31.8,24, 1026.0,24, 9999.9, 0,   4.4,24,   3.6,24,   8.0, 999.9,   68.4*,  30.4*, 0.00I,999.9, 000000,
722146,12816, 19440123,   49.1,24,   40.4,24, 1023.4,24, 9999.9, 0,   4.7,24,   3.9,24,  11.1, 999.9,   70.3*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440124,   53.6,24,   45.7,24, 1022.7,24, 9999.9, 0,   3.7,24,   3.6,24,   8.9, 999.9,   71.2*,  39.4*, 0.00I,999.9, 000000,
722146,12816, 19440125,   59.4,24,   52.5,24, 1024.9,24, 9999.9, 0,   4.9,24,   5.6,24,   9.9, 999.9,   73.4*,  49.3*, 0.00I,999.9, 000000,
722146,12816, 19440126,   62.6,24,   56.1,24, 1026.6,24, 9999.9, 0,   9.1,24,   5.4,24,   9.9, 999.9,   76.3*,  52.3*, 0.00I,999.9, 000000,
722146,12816, 19440127,   63.0,24,   56.0,24, 1027.4,24, 9999.9, 0,  12.3,24,   5.1,24,   8.9, 999.9,   78.3*,  49.3*, 0.00I,999.9, 000000,
722146,12816, 19440128,   62.2,24,   55.7,24, 1024.5,24, 9999.9, 0,   3.5,24,   3.3,24,   8.0, 999.9,   80.2*,  49.3*, 0.00I,999.9, 100000,
722146,12816, 19440129,   63.6,24,   58.6,24, 1020.3,24, 9999.9, 0,   4.2,24,   5.6,24,   9.9, 999.9,   77.4*,  53.4*, 0.00I,999.9, 100000,
722146,12816, 19440130,   64.1,24,   48.9,24, 1019.0,24, 9999.9, 0,   3.8,24,   7.6,24,  13.0, 999.9,   73.4*,  53.4*, 0.00I,999.9, 000000,
722146,12816, 19440131,   53.7,24,   39.3,24, 1020.8,24, 9999.9, 0,   2.2,24,   6.7,24,  13.0, 999.9,   74.3*,  38.3*, 0.00I,999.9, 000000,
